loopIteration,time,gyroADC[0],gyroADC[1],gyroADC[2]
977,21156620,3,2,7
978,21159992,3,2,7
979,21163364,2,2,7
980,21166712,2,2,7
981,21170076,2,2,7
982,21173436,1,2,7
983,21176796,0,2,7
984,21180160,-0,2,6
985,21183552,-1,1,7
986,21186928,-1,2,6
987,21190304,-1,2,6
988,21197716,0,2,7
989,21201092,0,2,8
990,21204468,0,2,9
991,21207832,1,2,9
992,21211192,1,2,9
993,21214536,2,2,10
994,21217900,1,2,10
995,21221260,1,2,10
996,21224632,2,2,10
997,21228004,2,2,10
998,21231368,1,1,10
999,21234752,2,2,10
1000,21238120,2,1,10
1001,21241504,1,1,10
1002,21244892,2,0,10
1003,21248308,2,0,10
1004,21251728,2,-0,10
1005,21255160,2,-0,10
1006,21258600,3,-0,10
1007,21262040,3,-0,10
1008,21265464,3,-0,9
1009,21268876,4,-0,9
1010,21272276,4,-1,9
1011,21275696,4,-2,9
1012,21279088,5,-2,8
1013,21286924,5,-3,8
1014,21290336,3,-4,8
1015,21293748,3,-4,8
1016,21297160,3,-4,7
1017,21300568,3,-4,8
1018,21303968,2,-3,8
1019,21307364,1,-3,8
1020,21310776,-0,-3,9
1021,21314212,-1,-3,9
1022,21317648,-1,-3,10
1023,21321092,-3,-2,10
1024,21324520,-4,-2,10
1025,21327984,-5,-1,11
1026,21331424,-6,-1,11
1027,21334864,-7,-1,12
1028,21338332,-8,-1,12
1029,21341764,-9,-1,12
1030,21345220,-9,-0,12
1031,21348676,-10,-1,12
1032,21352140,-11,-1,11
1033,21355604,-10,-2,11
1034,21359064,-10,-2,11
1035,21362548,-10,-3,11
1036,21369392,-9,-3,10
1037,21372836,-8,-3,10
1038,21376292,-7,-4,10
1039,21379740,-7,-4,10
1040,21383184,-5,-4,9
1041,21386612,-5,-4,9
1042,21390044,-4,-4,9
1043,21393472,-3,-5,9
1044,21396900,-2,-6,9
